WARNING 2025-08-17 22:25:00,754 log 8 140488207214272 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:25:00,757 log 8 140488215606976 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:25:00,759 log 8 140488241833664 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:25:00,760 log 8 140488198821568 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:25:00,762 log 8 140488223999680 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:25:00,764 log 8 140488233440960 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:25:00,764 basehttp 8 140488207214272 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:00,766 basehttp 8 140488215606976 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:00,766 basehttp 8 140488241833664 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:00,769 basehttp 8 140488198821568 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:00,770 basehttp 8 140488223999680 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:00,771 basehttp 8 140488233440960 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:00,776 log 8 140488233440960 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:25:00,777 basehttp 8 140488233440960 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:21,520 log 8 140488233440960 Not Found: /
WARNING 2025-08-17 22:25:21,521 basehttp 8 140488233440960 "GET / HTTP/1.1" 404 179
INFO 2025-08-17 22:25:38,571 basehttp 8 140488190428864 "GET /admin HTTP/1.1" 301 0
INFO 2025-08-17 22:25:38,601 basehttp 8 140488190428864 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-17 22:25:38,612 basehttp 8 140488190428864 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
WARNING 2025-08-17 22:25:38,652 log 8 140488190428864 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:25:38,653 basehttp 8 140488190428864 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,665 log 8 140487709161152 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:25:38,671 log 8 140487700768448 Not Found: /static/admin/css/nav_sidebar.css
